City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
613,Stolin,BY,63.36,scattered clouds,51.8912,26.846,Stolinskiy Khlebozavod
622,Hervey Bay,AU,71.71,few clouds,-25.2986,152.8535,Shelly Bay Resort
628,Vanersborg,SE,62.65,scattered clouds,58.3807,12.3234,Best Western Arena Hotell
630,Surami,GE,72.09,few clouds,42.0243,43.5556,Surami Treehouse
635,Rovaniemi,FI,60.21,clear sky,66.5,25.7167,Arctic City Hotel
637,Kostomuksha,RU,60.08,broken clouds,64.571,30.5767,U Mikhailicha
640,Chicama,PE,64.87,few clouds,-7.8447,-79.1469,Balihai Bungalows
645,Sao Geraldo Do Araguaia,BR,73.54,clear sky,-6.4006,-48.555,SOLAR DO BARROSO
647,Morecambe,GB,62.51,clear sky,54.0684,-2.8611,The Midland
648,Cap Malheureux,MU,70.29,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
650,Cap-Aux-Meules,CA,62.62,clear sky,47.3821,-61.8597,Auberge Madeli
651,Barquisimeto,VE,70.77,overcast clouds,10.0739,-69.3228,Hotel Príncipe
655,Senador Pompeu,BR,74.03,broken clouds,-5.5881,-39.3717,Hotel Central
658,Kontagora,NG,71.71,overcast clouds,10.3999,5.4695,Queens Guest Inn
659,Pereslavl-Zalesskiy,RU,62.37,overcast clouds,56.7393,38.8563,Motel Navigator
661,Maketu,NZ,60.94,broken clouds,-37.7667,176.45,Maketu Beach Holiday Park
669,Lata,PT,64.04,overcast clouds,40.1629,-8.3327,Casa Maquia
671,Boundiali,CI,69.15,broken clouds,9.5217,-6.4869,Hotel Paysan Boundiali
675,Mpraeso,GH,63.9,few clouds,6.5932,-0.7346,JAYS Lodge
683,Flagstaff,US,62.33,scattered clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
